Transit (row) / Origin (Column) ASN-ASNAME,99999-VE
29075-Lost Oasis SARL,0.00012
3303-Swisscom (Switzerland) Ltd,0.00011
22388-Indiana University,0.00011
6306-TELEFONICA VENEZOLANA C.A.,0.0001
40676-Psychz Networks,0.0001
35228-Telefonica UK Limited,0.0001
20764-CJSC RASCOM,0.0001
99999-VE,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
6130-American Internet Services LLC.,0.0
6079-RCN,0.0
5713-Telkom SA Ltd.,0.0
5580-Hibernia Networks (Netherlands) BV,0.0
38930-LeaseWeb Network B.V.,0.0
35280-ACORUS NETWORKS SAS,0.0
29208-Dial Telecom a.s.,0.0
28917-LLC "TRC FIORD",0.0
28513-Uninet S.A. de C.V.,0.0
27978-Telmex Servicios Empresariales S.A.,0.0
2603-NORDUnet,0.0
25091-IP-Max SA,0.0
209-Qwest Communications Company LLC,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
200780-APPLIWAVE SAS,0.0
198385-AlpineDC SA,0.0
19315-Banelco S.A.,0.0
19037-AMX Argentina S.A.,0.0
1836-green.ch AG,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
13193-Nerim SAS,0.0
1273-Vodafone Group PLC,0.0
12552-IP-Only Networks AB,0.0
12430-VODAFONE ESPANA S.A.U.,0.0
11664-Techtel LMDS Comunicaciones Interact,0.0
7660-Asia Pacific Advanced Network - Japa,9e-05
12389-PJSC Rostelecom,9e-05
52468-UFINET PANAMA S.A.,8e-05
27648-TELECOMUNICACIONES BANTEL C.A.,8e-05
16814-NSS S.A.,8e-05
263703-NetLink AmÃ©rica C.A.,6e-05
2497-Internet Initiative Japan Inc.,6e-05
15576-NTS workspace AG,6e-05
14259-Gtd Internet S.A.,6e-05
12180-Internap Network Services Corporatio,6e-05
8473-Bahnhof Internet AB,5e-05
47869-Netrouting,5e-05
36352-ColoCrossing,5e-05
265641-TELECOMUNICACIONES ROCARLI C.A (CIX ,5e-05
2516-KDDI CORPORATION,5e-05
20207-Gigared S.A.,5e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,5e-05
12200-Rackspace Hosting,5e-05
5400-British Telecommunications plc,4e-05
10834-Telefonica de Argentina,4e-05
8455-Schuberg Philis B.V.,3e-05
58057-TeleMontazh Ltd.,3e-05
4637-Telstra Global - Customer AS Number,3e-05
4230-CLARO S.A.,3e-05
41327-TechInfoTel Ltd.,3e-05
3320-Deutsche Telekom AG,3e-05
3267-State Institute of Information Techn,3e-05
30781-Jaguar Network SAS,3e-05
18881-TELEFÃNICA BRASIL S.A,3e-05
11058-CABASE Camara Arg de Base de Datos y,3e-05
10429-Telefonica Data S.A.,3e-05
8447-A1 Telekom Austria AG,2e-05
8220-COLT Technology Services Group Limit,2e-05
7545-TPG Telecom Limited,2e-05
6730-Sunrise Communications AG,2e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,2e-05
33891-Core-Backbone GmbH,2e-05
3216-PJSC "Vimpelcom",2e-05
29838-Atlantic Metro Communications LLC,2e-05
262195-Transamerican Telecomunication S.A.,2e-05
22927-Telefonica de Argentina,2e-05
1853-ACONET,2e-05
16735-ALGAR TELECOM S/A,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
1257-TELE2,2e-05
12182-Internap Network Services Corporatio,2e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
8468-ENTANET International Limited,1e-05
8218-Zayo France SAS,1e-05
7922-Comcast Cable Communications LLC,1e-05
6739-VODAFONE ONO S.A.,1e-05
6661-POST Luxembourg,1e-05
59689-Keyade SAS,1e-05
36086-Telx,1e-05
24961-myLoc managed IT AG,1e-05
21320-GEANT Limited,1e-05
20562-Broadband Hosting B.V,1e-05
15412-Reliance Globalcom Limited,1e-05
