asn,cti,hegemony
134134-North Telecom,0.0099,0.00840843914323
36149-Hawaiian Telcom Services Company Inc,0.0015,0.0012333073826
20473-Choopa LLC,0.00094,5.10622993872e-05
206283-STAR SATELLITE COMMUNICATIONS COMPAN,0.00282,0.00269692779588
38193-Transworld Associates (Pvt.) Ltd.,0.14695,0.198960112929
35280-ACORUS NETWORKS SAS,5e-05,0.0
45178-Main Street House No. 13 Wazir Akbar,0.01571,0.00840743936914
4134-No.31Jin-rong Street,0.0,8.7358667451e-06
46844-Sharktech,0.00095,0.000898975931964
24961-myLoc managed IT AG,0.00017,0.000359414248368
38742-AWCC,0.00093,0.000898975931964
7473-Singapore Telecommunications Ltd,0.00097,0.0019236588314
3320-Deutsche Telekom AG,0.00559,0.00515509360145
19036-Telesat Network Services Inc,0.00086,0.0016746944621
99999-AF,0.0,0.0
28910-"Uzbektelekom" Joint Stock Company,0.11499,0.146129929194
8220-COLT Technology Services Group Limit,0.00015,0.0
3758-SingNet Business Dept,0.0017,0.00179795186393
1273-Vodafone Group PLC,5e-05,7.6681111998e-08
15570-InterNAP Network Services U.K. Limit,0.00062,8.02444500864e-05
25091-IP-Max SA,6e-05,0.0
2603-NORDUnet,5e-05,0.0
29049-Delta Telecom Ltd,0.00015,5.95153605388e-05
3303-Swisscom (Switzerland) Ltd,8e-05,0.0
9002-RETN Limited,0.01966,0.0244689844893
24785-Broadband Hosting B.V,0.00881,0.0154171359231
31133-PJSC MegaFon,0.0053,0.0060731009555
59689-Keyade SAS,0.00058,0.0
13030-Init7 (Switzerland) Ltd.,0.0001,4.56723404186e-05
8529-Oman Telecommunications Company (S.A,0.00963,0.0180494010714
30781-Jaguar Network SAS,3e-05,0.0
5511-Orange S.A.,0.01778,0.0209025268044
5666-Harris CapRock Communications Inc.,0.00184,0.00383869284816
8732-OJSC Comcor,0.00054,0.0
202984-Chernyshov Aleksandr Aleksandrovich,3e-05,0.0
1916-Associa̤̣o Rede Nacional de En,0.00076,0.0
137276-Asia Bridge Telecom,0.00096,0.000199150226767
208293,0.0,8.28111657262e-05
64067,0.0,5.52153697187e-07
21277,0.0,5.49425169689e-05
49832,0.0,7.48789923668e-05
38195,0.0,9.62202152025e-07
53087,0.0,2.33081126271e-05
198605,0.0,1.37371879523e-07
58299,0.0,5.33265182428e-07
9680,0.0,1.47184919822e-06
9930,0.0,0.000590568130486
49544,0.0,0.00011646341081
18779,0.0,4.46359286109e-05
18678,0.0,6.98766098967e-05
10282,0.0,0.000699985390693
17408,0.0,3.30542129093e-06
51375,0.0,2.64860121292e-05
44356,0.0,3.02880752216e-05
15290,0.0,2.89765345189e-07
14745,0.0,3.36497310767e-05
57724,0.0,0.000548483601507
14187,0.0,6.98766098967e-05
36614,0.0,3.83213474616e-05
32787,0.0,2.1814000794e-06
207701,0.0,3.6228650512e-05
57463,0.0,0.00012441251063
32098,0.0,1.43831816367e-05
6853,0.0,0.00202079661742
262589,0.0,6.98425518619e-05
46887,0.0,3.83213474616e-05
9498,0.0,2.98819422242e-05
37540,0.0,3.25807600127e-05
201935,0.0,0.000295284065243
198949,0.0,1.36317533441e-05
4805,0.0,0.000308513981368
7992,0.0,6.39274811626e-08
17988,0.0,4.49487965982e-05
4809,0.0,6.05768582552e-07
13999,0.0,1.43831816367e-05
52468,0.0,7.23533196796e-05
7738,0.0,1.69108728917e-05
57187,0.0,5.4483389816e-05
34984,0.0,0.000431508447342
12880,0.0,0.0001781117471
13789,0.0,0.000352595181771
45671,0.0,9.62202152025e-07
23498,0.0,9.22786196237e-07
30844,0.0,0.000677983930664
3741,0.0,4.5622651629e-07
27822,0.0,0.000133676531177
5583,0.0,0.00125213860289
57588,0.0,1.26656808923e-05
3462,0.0,2.44894747274e-06
39151,0.0,8.85536880889e-05
6503,0.0,3.71221492774e-06
6505,0.0,1.46916947832e-05
36937,0.0,4.34126845723e-05
27729,0.0,7.23533196796e-05
208428,0.0,5.4483389816e-05
48910,0.0,2.67835843107e-05
1733,0.0,4.70375227471e-05
39386,0.0,1.51442472498e-05
30990,0.0,6.54461750266e-05
264637,0.0,7.23533196796e-05
15808,0.0,9.35884158019e-07
201011,0.0,8.70479643075e-07
15802,0.0,5.4483389816e-05
29791,0.0,0.000185052384878
23520,0.0,4.22968465006e-05
3908,0.0,2.20698924874e-08
8612,0.0,0.000295284065243
12182,0.0,2.54468112656e-05
12180,0.0,0.000157413133652
29208,0.0,4.81824713578e-05
3209,0.0,3.74733362249e-05
37662,0.0,1.95647730579e-06
49063,0.0,5.34427506544e-07
133296,0.0,5.92087132685e-07
52965,0.0,0.000196884707442
36932,0.0,1.35720064862e-05
13335,0.0,4.36291968434e-06
209561,0.0,4.13281141717e-09
50300,0.0,0.000326053409428
4004,0.0,0.00055950038923
30282,0.0,2.89228460053e-05
23033,0.0,3.95499881709e-05
13101,0.0,1.41339673513e-05
13768,0.0,4.46128702631e-08
2874,0.0,0.00211833656074
2647,0.0,0.00537106246273
23352,0.0,0.000232903874871
54103,0.0,4.65913907894e-05
34549,0.0,2.37667198923e-05
3223,0.0,0.000289791425385
28598,0.0,4.98674566854e-05
37076,0.0,3.02880752216e-05
11271,0.0,1.69108749704e-05
5391-Hrvatski Telekom d.d.,0.00924,0.0272700313066
50973-Vodafone Albania Sh.A.,0.012,0.0126804002673
6939-Hurricane Electric Inc.,0.00051,0.00330419958897
2914-NTT America Inc.,0.00351,0.0040649874406
57722-N.SH.T "ATI-KOS" sh.p.k,0.00034,0.00057924129471
3223-Voxility S.R.L.,0.00673,0.0128785729762
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00016,0.000274243211821
22388-Indiana University,1e-05,0.0
34772-NEOTEL DOO export-import Skopje,0.02253,0.014268570677
198385-AlpineDC SA,0.0,0.0
2516-KDDI CORPORATION,6e-05,0.0
4230-CLARO S.A.,7e-05,1.28035158548e-05
3257-GTT Communications Inc.,0.03041,0.0330272217226
28716-Reti Telematiche Italiane S.p.A. (Re,0.00038,0.000619188970207
37468-Angola Cables,1e-05,7.84475697916e-06
8218-Zayo France SAS,1e-05,0.0
12874-Fastweb SpA,0.0,0.0
20764-CJSC RASCOM,6e-05,0.0
6777-Amsterdam Internet Exchange B.V.,1e-05,0.0
43940-Drustvo za telekomunikacije "MTEL" D,0.00485,0.00753013683122
21183-ABCOM Shpk,0.04511,0.0392001527959
36086-Telx,8e-05,5.3727353984e-05
5603-Telekom Slovenije d.d.,0.09255,0.101348754032
6762-TELECOM ITALIA SPARKLE S.p.A.,0.22819,0.155565967536
3491-PCCW Global Inc.,0.00022,0.000311535735694
47394-"Albanian Satellite Communications" ,0.01778,0.0226791752344
58057-TeleMontazh Ltd.,0.0002,0.000281653155026
21246-IPKO Telecommunications LLC,0.00478,0.00559903854447
136620-VMHaus Limited,1e-05,0.0
6663-Euroweb Romania S.A.,0.12244,0.105850799049
1103-SURFnet bv,0.0,0.0
15412-Reliance Globalcom Limited,1e-05,4.6768499608e-06
8262-Evolink AD,0.0,0.0
28917-LLC "TRC FIORD",2e-05,0.0
38930-LeaseWeb Network B.V.,1e-05,0.0
16265-LeaseWeb Network B.V.,1e-05,0.0
33891-Core-Backbone GmbH,0.0,0.000446997934539
6461-Zayo Bandwidth,0.00125,0.00193526067667
29170-Kujtesa Net Sh.p.k.,0.01717,0.0185627687741
11537-Internet2,5e-05,0.0
3267-State Institute of Information Techn,2e-05,0.0
12956-Telefonica International Wholesale S,8e-05,1.83252121497e-07
33983-ARTMOTION SH.P.K.,0.00306,0.00450862287254
200780-APPLIWAVE SAS,1e-05,0.0
21320-GEANT Limited,0.00257,0.00399964639427
47872-Sofia Connect EAD,0.0031,0.00106194237363
15576-NTS workspace AG,0.0,0.0
3356-Level 3 Communications Inc.,0.03358,0.0753254725427
2497-Internet Initiative Japan Inc.,4e-05,0.0
39611-VIVO Communications Sh p k,0.00014,0.000235444724416
286-KPN B.V.,1e-05,3.69508307284e-06
52320-GlobeNet Cabos Submarinos Colombia S,7e-05,1.25343675384e-06
20965-GEANT Limited,0.00034,0.0
8468-ENTANET International Limited,1e-05,0.0
10282-GLOBAL ONE,0.0062,0.000451024804521
24961-myLoc managed IT AG,7e-05,0.000231583034828
6830-Liberty Global Operations B.V.,2e-05,4.18086561181e-07
202441-unknown,0.00448,0.00444360877815
6661-POST Luxembourg,4e-05,0.0
1764-Next Layer Telekommunikationsdienstl,1e-05,0.0
8400-TELEKOM SRBIJA a.d.,0.01012,0.0149801613881
198279-Albanian Telecommunications Union SH,0.06073,0.0427098138872
1299-Telia Company AB,0.00634,0.0304102438
174-Cogent Communications,0.13984,0.218318901645
57070-ITCOM Shpk,0.00038,0.000579241294709
2852-CESNET z.s.p.o.,0.0,0.0
56468-MC NETWORKING Sh.p.k.,0.00173,0.00261647599125
5713-Telkom SA Ltd.,0.0,0.0
8447-A1 Telekom Austria AG,3e-05,0.0
8585-Crnogorski Telekom a.d.Podgorica,0.01377,0.0261115487172
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00029,0.000180670992422
1836-green.ch AG,4e-05,7.89041705468e-06
29075-Lost Oasis SARL,5e-05,0.0
35047-Abissnet sh.a.,0.00625,0.00889523004989
206262-TelKos L.L.C,0.00643,0.00328894037053
12713-OTEGlobe - OTE Global Solutions SA,0.07666,0.147074414784
99999-AL,0.0,0.0
3320-Deutsche Telekom AG,0.00243,0.00619805288389
42313-Albtelecom Sh.a.,0.17011,0.194307674851
8220-COLT Technology Services Group Limit,1e-05,0.0
1273-Vodafone Group PLC,0.01628,0.0267610860084
15570-InterNAP Network Services U.K. Limit,0.00025,5.17042753966e-05
25091-IP-Max SA,4e-05,0.0
2603-NORDUnet,0.00033,0.000894022610252
3303-Swisscom (Switzerland) Ltd,2e-05,0.0
9002-RETN Limited,9e-05,1.95630253138e-09
31133-PJSC MegaFon,0.00039,0.00057924129471
59689-Keyade SAS,0.0,0.0
13030-Init7 (Switzerland) Ltd.,4e-05,1.41531016978e-05
206610-Pindo S.a.,0.00263,0.0
30781-Jaguar Network SAS,1e-05,0.0
5511-Orange S.A.,0.01034,0.0131707867858
8732-OJSC Comcor,2e-05,0.0
202984-Chernyshov Aleksandr Aleksandrovich,2e-05,0.0
48452-"Traffic Broadband Communications" L,0.0,0.0
1916-Associa̤̣o Rede Nacional de En,4e-05,0.0
7660-Asia Pacific Advanced Network - Japa,1e-05,0.0
3758,0.0,1.00325371454e-05
64067,0.0,7.56961127411e-09
53087,0.0,1.36529303211e-06
38056,0.0,2.10633198076e-06
38195,0.0,1.31910667176e-08
20562,0.0,7.76596674108e-07
5583,0.0,0.000806796221908
198605,0.0,1.88326499176e-09
4862,0.0,0.00139142397143
12180,0.0,0.000101426728012
18678,0.0,4.09308338799e-06
58299,0.0,7.3106639647e-09
260,0.0,9.86422693812e-07
327934,0.0,1.37149366215e-06
29208,0.0,3.1045633258e-05
47123,0.0,2.05697694098e-05
51375,0.0,1.70658539477e-05
14745,0.0,2.16816859077e-05
23033,0.0,9.57956109619e-08
262589,0.0,4.09108840889e-06
14187,0.0,4.09308338799e-06
32787,0.0,2.99053519309e-08
32098,0.0,8.42507412859e-07
6853,0.0,0.00130206917383
9498,0.0,1.89490956656e-05
30282,0.0,1.86359903208e-05
4805,0.0,0.000198786231811
37662,0.0,3.55301514937e-08
20773,0.0,0.000504380950136
34984,0.0,4.71901977972e-05
207083,0.0,1.43543572401e-05
13789,0.0,0.000227189274301
45671,0.0,1.31910667176e-08
30844,0.0,2.79722946126e-05
2609,0.0,1.37149366215e-06
3741,0.0,7.77887147133e-06
55410,0.0,1.90697847402e-05
18101,0.0,4.288825184e-06
9000,0.0,2.05697694098e-05
6503,0.0,2.17446228085e-07
4755,0.0,3.21977522318e-05
6505,0.0,9.46636723534e-06
7545,0.0,5.55919597736e-06
9121,0.0,4.29607629107e-05
1221,0.0,1.85661640716e-05
4637,0.0,4.72836335278e-05
12735,0.0,2.05533752445e-05
48910,0.0,1.72575899992e-05
398107,0.0,2.82813085894e-05
57187,0.0,2.39086403285e-06
24753,0.0,1.26379918846e-05
5438,0.0,1.37149366215e-06
52965,0.0,1.15326935089e-05
39386,0.0,3.50507909401e-06
15808,0.0,3.55301514937e-08
15802,0.0,2.39086403285e-06
23520,0.0,2.47757468532e-06
47987,0.0,8.55600139896e-07
20860,0.0,8.55600139896e-07
9021,0.0,3.87115832797e-05
12182,0.0,1.63962608781e-05
49544,0.0,6.82194589577e-06
199861,0.0,4.11387736569e-06
4657,0.0,0.000716626753445
29791,0.0,0.000119235653808
37271,0.0,7.13923752607e-06
58453,0.0,0.000178088484553
36937,0.0,2.79722946126e-05
22298,0.0,3.33540371055e-06
13335,0.0,5.98123424671e-08
209561,0.0,1.33145668919e-09
50300,0.0,1.90988629199e-05
4004,0.0,0.000360505457738
202821,0.0,0.00166674789364
7473,0.0,6.11561500892e-05
13101,0.0,2.47152551614e-07
2874,0.0,0.00136491753388
2647,0.0,0.00346076136664
23352,0.0,0.000530971186817
54103,0.0,2.72913136377e-06
200612,0.0,2.72066622672e-06
34549,0.0,2.48159514408e-05
24785,0.0,7.31126165012e-06
3549,0.0,3.02294565226e-05
28598,0.0,2.92102978181e-06
7474,0.0,1.90897387244e-05
13999,0.0,8.42507412859e-07
2914-NTT America Inc.,0.00914,0.0112677720061
42-WoodyNet,7e-05,7.84206112939e-05
44395-Ucom LLC,0.03799,0.0405423117153
20771-Caucasus Online Ltd.,0.07122,0.112199175758
41327-TechInfoTel Ltd.,2e-05,0.0
6682-GNC-Alfa CJSC,0.12517,0.15138015387
3216-PJSC "Vimpelcom",0.17846,0.213767277768
6939-Hurricane Electric Inc.,0.00039,0.0125866073932
3223-Voxility S.R.L.,0.00027,0.000991132637726
15412-Reliance Globalcom Limited,6e-05,2.82214169657e-06
41689-Asiatech Data Transfer Inc PLC,0.0001,0.000248618044622
12297-"ArmenTel" CJSC,0.0751,0.0941228292607
22388-Indiana University,7e-05,0.0
12389-PJSC Rostelecom,0.00195,0.00276685337722
41965-MTS Armenia CJSC,0.02588,0.0197728807131
20562-Broadband Hosting B.V,6e-05,3.02798338468e-05
7545-TPG Telecom Limited,2e-05,0.0
34224-Neterra Ltd.,0.00041,0.00100512890771
2516-KDDI CORPORATION,3e-05,8.9445423475e-06
4230-CLARO S.A.,7e-05,0.0
3257-GTT Communications Inc.,0.00071,0.0023028012798
37468-Angola Cables,1e-05,1.10420299561e-06
8218-Zayo France SAS,1e-05,0.0
12874-Fastweb SpA,0.0,0.0
42109-MTS Armenia CJSC,0.00165,0.00202419781251
20764-CJSC RASCOM,0.00014,0.000186271845377
6777-Amsterdam Internet Exchange B.V.,2e-05,0.0
20485-Closed Joint Stock Company TransTele,0.00124,0.000818326971263
31172-QFast Telecom B.V.,0.00016,0.00023060812976
48011-unknown,0.00082,0.000990677605698
12956-Telefonica International Wholesale S,4e-05,1.65137633408e-05
6762-TELECOM ITALIA SPARKLE S.p.A.,0.08342,0.121447889225
3491-PCCW Global Inc.,3e-05,3.38698331064e-05
13101-ennit server GmbH,1e-05,6.89370585729e-06
58057-TeleMontazh Ltd.,0.00017,0.000196141078392
47872-Sofia Connect EAD,0.00214,0.00356224267006
47973-Digital Realty Netherlands B.V.,1e-05,3.92433179164e-08
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00014,0.000190980851265
2486-AFNIC (Association Francaise pour le,7e-05,1.02835775177e-05
49666-Telecommunication Infrastructure Com,0.00016,0.000616798592546
21320-GEANT Limited,3e-05,0.0
41313-"NOVATEL" EOOD,0.00277,0.0133783056272
16265-LeaseWeb Network B.V.,1e-05,0.0
41095-IPTP LTD,2e-05,2.33176019871e-08
33891-Core-Backbone GmbH,5e-05,4.15717332015e-05
6461-Zayo Bandwidth,5e-05,6.5033523914e-05
8932-Ucom LLC,0.33867,0.307598487282
11537-Internet2,0.00022,0.0
3267-State Institute of Information Techn,2e-05,0.0
49832-FotoLab Ltd,2e-05,4.03970540631e-05
43754-Asiatech Data Transfer Inc PLC,0.0002,0.000248618044622
51090-"Internet Society" Public Organisati,0.00026,0.000388792198535
200612-Gulf Bridge International Inc.,1e-05,4.02422887961e-05
28917-LLC "TRC FIORD",2e-05,0.0
3356-Level 3 Communications Inc.,0.02674,0.052865290792
2497-Internet Initiative Japan Inc.,4e-05,1.05282800119e-06
286-KPN B.V.,9e-05,3.50049556915e-05
52320-GlobeNet Cabos Submarinos Colombia S,7e-05,0.0
20965-GEANT Limited,0.00164,0.0
8468-ENTANET International Limited,1e-05,0.0
43733-MTS Armenia CJSC,0.07474,0.0852985939121
24961-myLoc managed IT AG,6e-05,0.000161272634011
12880-Information Technology Company (ITC),0.00016,0.000372860470638
50245-Serverel Inc.,0.00329,0.00322703325466
6830-Liberty Global Operations B.V.,1e-05,9.09667131098e-07
33852-MTS Armenia CJSC,0.00343,0.00173611459704
42337-Respina Networks & Beyond PJSC,0.00032,0.000372860470638
13030-Init7 (Switzerland) Ltd.,2e-05,9.82424865915e-06
6661-POST Luxembourg,1e-05,0.0
196709-GNC-Alfa CJSC,0.01531,0.00714964854073
1299-Telia Company AB,0.03528,0.0711560989112
7922-Comcast Cable Communications LLC,2e-05,5.55364503803e-06
174-Cogent Communications,0.06055,0.115789529165
2852-CESNET z.s.p.o.,0.0,0.0
49800-GNC-Alfa CJSC,0.02625,0.0219881885186
5713-Telkom SA Ltd.,0.0,0.0
8447-A1 Telekom Austria AG,4e-05,0.0
6453-TATA COMMUNICATIONS (AMERICA) INC,9e-05,0.000269133384292
1836-green.ch AG,3e-05,5.49482539944e-06
29075-Lost Oasis SARL,4e-05,0.0
3549-Level 3 Communications Inc.,0.0,1.96337820443e-06
35280-ACORUS NETWORKS SAS,0.0,0.0
99999-AM,0.0,0.0
7473-Singapore Telecommunications Ltd,2e-05,2.53785656122e-05
3320-Deutsche Telekom AG,2e-05,2.01582504012e-06
208339-unknown,0.00099,0.0012101374705
1273-Vodafone Group PLC,0.00697,0.000376846484832
16190-WEB Ltd,0.00134,0.00158307606513
15570-InterNAP Network Services U.K. Limit,0.00022,3.60064574206e-05
25091-IP-Max SA,7e-05,1.15756680543e-08
2603-NORDUnet,0.0,0.0
201986-Arpinet LLC,0.02367,0.0158319699948
3303-Swisscom (Switzerland) Ltd,4e-05,0.0
51531-DE-CIX Management GmbH,0.00012,3.99751472274e-05
9002-RETN Limited,0.0002,0.0001525737598
24785-Broadband Hosting B.V,0.00025,0.000418577733817
31133-PJSC MegaFon,0.00013,0.000130697442021
47623-Institute for Informatics and Automa,0.00071,0.000429461678625
51225-Armenian internet traffic exchange ',0.00041,5.03063704658e-08
8359-MTS PJSC,0.00153,0.00186739022045
206610-Pindo S.a.,0.00117,0.0
59900-Balkan Internet Exchange Ltd,8e-05,9.29385452665e-05
30781-Jaguar Network SAS,0.0,0.0
5511-Orange S.A.,0.00669,0.00770312814306
8732-OJSC Comcor,2e-05,0.0
202984-Chernyshov Aleksandr Aleksandrovich,2e-05,0.0
8455-Schuberg Philis B.V.,0.00014,0.000167246287589
1916-Associa̤̣o Rede Nacional de En,2e-05,0.0
7660-Asia Pacific Advanced Network - Japa,5e-05,0.0
23201,0.0,2.76050748903e-07
208293,0.0,1.10420299561e-06
45629,0.0,1.71414918325e-07
9121,0.0,3.00154154506e-05
40300,0.0,4.95998942637e-09
4609,0.0,1.10420299561e-06
8167,0.0,3.06442676591e-06
36873,0.0,2.76050748903e-07
47123,0.0,1.43781483398e-05
15296,0.0,5.47214479492e-08
27552,0.0,4.92029724732e-08
4788,0.0,2.04157251775e-06
8781,0.0,8.28287428645e-07
38193,0.0,2.76050748903e-07
63528,0.0,5.47214479492e-08
32425,0.0,5.4723149091e-08
9021,0.0,2.69584471371e-05
45430,0.0,1.1589088104e-06
6327,0.0,2.16918972054e-08
262195,0.0,1.0682904144e-07
9680,0.0,3.78437907673e-07
395627,0.0,5.4739523344e-08
133372,0.0,1.10420299561e-06
13789,0.0,0.000158212853169
17639,0.0,2.40255216301e-08
1221,0.0,5.97344790475e-06
45595,0.0,1.10420299561e-06
18678,0.0,8.33512825869e-06
14840,0.0,2.61462283467e-06
45758,0.0,1.0422319381e-06
18881,0.0,5.03361165054e-07
136039,0.0,5.52101497805e-07
27775,0.0,2.76050748903e-07
38040,0.0,1.10420459368e-06
260,0.0,6.90275018345e-07
9821,0.0,5.4739523344e-08
12989,0.0,2.30897659215e-07
8151,0.0,1.75352984353e-06
35432,0.0,2.76050748903e-07
37054,0.0,2.76050748903e-07
4648,0.0,4.43302920969e-07
18403,0.0,1.10420299561e-06
14745,0.0,1.50989583444e-05
40805,0.0,5.4739523344e-08
17501,0.0,1.10420299561e-06
59318,0.0,1.10420299561e-06
262589,0.0,7.72771540088e-06
18809,0.0,1.10420299561e-06
37350,0.0,5.02168594477e-08
45335,0.0,5.47214479492e-08
9329,0.0,1.10420299561e-06
29049,0.0,2.38023229513e-07
37100,0.0,5.81033236071e-06
12322,0.0,3.58262135016e-06
